name,is_male,is_student,is_staff,is_gryffindor,is_slytherin,is_hufflepuff,is_ravenclaw,has_patronus,is_pure_blood,is_half_blood,has_glasses,is_alive
Harry Potter,1,1,0,1,0,0,0,1,0,1,1,1
Hermione Granger,0,1,0,1,0,0,0,1,0,0,0,1
Ron Weasley,1,1,0,1,0,0,0,1,1,0,0,1
Draco Malfoy,1,1,0,0,1,0,0,0,1,0,0,1
Minerva McGonagall,0,0,1,1,0,0,0,1,0,1,1,1
Cedric Diggory,1,1,0,0,0,1,0,0,0,0,0,0
Cho Chang,0,1,0,0,0,0,1,1,0,0,0,1
Severus Snape,1,0,1,0,1,0,0,1,0,1,0,0
Rubeus Hagrid,1,0,1,1,0,0,0,0,0,1,0,1
Neville Longbottom,1,1,0,1,0,0,0,1,1,0,0,1
Luna Lovegood,0,1,0,0,0,0,1,1,1,0,0,1
Ginny Weasley,0,1,0,1,0,0,0,1,1,0,0,1
Sirius Black,1,0,0,1,0,0,0,1,1,0,0,0
Remus Lupin,1,0,1,1,0,0,0,1,0,1,0,0
Arthur Weasley,1,0,0,1,0,0,0,1,1,0,1,1
Bellatrix Lestrange,0,0,0,0,1,0,0,0,1,0,0,0
Lord Voldemort,1,0,0,0,1,0,0,0,0,1,0,0
Horace Slughorn,1,0,1,0,1,0,0,0,1,0,0,1
Kingsley Shacklebolt,1,0,0,0,0,0,0,1,1,0,0,1
Dolores Umbridge,0,0,1,0,1,0,0,1,0,1,0,1
Lucius Malfoy,1,0,0,0,1,0,0,0,1,0,0,1
Vincent Crabbe,1,1,0,0,1,0,0,0,1,0,0,0
Mr Crabbe,1,0,0,0,1,0,0,0,1,0,0,0
Gregory Goyle,1,1,0,0,1,0,0,0,1,0,0,1
Mr Goyle,1,0,0,0,1,0,0,0,1,0,0,1
Mrs Norris,0,0,0,0,0,0,0,0,0,0,0,1
Argus Filch,1,0,1,0,0,0,0,0,0,0,0,1
Vernon Dursley,1,0,0,0,0,0,0,0,0,0,0,1
Petunia Dursley,0,0,0,0,0,0,0,0,0,0,0,1
Dudley Dursley,1,0,0,0,0,0,0,0,0,0,0,1
Boa constrictor,1,0,0,0,0,0,0,0,0,0,0,1
Lily Potter,0,0,0,1,0,0,0,0,0,0,0,0
James Potter,1,0,0,1,0,0,0,1,1,0,1,0
Albus Dumbledore,1,0,1,1,0,0,0,1,0,1,1,0
Fawkes,1,0,0,0,0,0,0,0,0,0,0,1
Madam Pomfrey,0,0,1,0,0,0,0,0,0,0,0,1
Mrs Figg,0,0,0,0,0,0,0,0,0,0,0,1
Marge Dursley,0,0,0,0,0,0,0,0,0,0,0,1
Ripper,1,0,0,0,0,0,0,0,0,0,0,1
Yvonne,0,0,0,0,0,0,0,0,0,0,0,1
Piers Polkiss,1,0,0,0,0,0,0,0,0,0,0,1
Dennis,1,0,0,0,0,0,0,0,0,0,0,1
Malcolm,1,0,0,0,0,0,0,0,0,0,0,1
Gordon,1,0,0,0,0,0,0,0,0,0,0,1
Miranda Gaushawk,0,0,0,0,0,0,0,0,0,0,0,1
Bathilda Bagshot,0,0,0,0,0,0,0,0,0,0,1,0
Adalbert Waffling,1,0,0,0,0,0,0,0,0,0,0,0
